Interval Start (s),original_subtitles,automatic_subtitles
0,"""Només al mes de juliol, un milió i mig de turistes internacionals visitaren la Comunitat Valenciana. Segons l'INE, esta xifra ha crescut un 10,8% respecte a l'any anterior."" És sostenible que el turisme continue creixent a este ritme? Sí que ho és. -El turisme de masses és contaminant i l'únic que genera són beneficis econòmics ràpids per a quatre.","El turisme de masses és contaminant i l'únic que genera són beneficis i el turisme de masses. Només al mes de juliol, un milió i mig de turistes internacionals visitaren la comunitat valenciana. Segons l'INE, aquesta xifra ha crescut un 10,8% respecte a l'any anterior. És sostenible que el turisme continuï creixent a aquest ritme? Sí, sí que és sostenible. El turisme de masses és contaminant i l'únic que genera són beneficis"
30,"i l'únic que genera són beneficis econòmics ràpids per a quatre. El turisme massiu és molt positiu. Com més turistes vinguen, millor per a l'economia? Todos son bienvenidos. El trato que tenemos con el turista, lo queremos, lo amamos; le sacamos dinero. Se'n poden anar a cagar. ""Els turistes estrangers es van gastar més de 2000 milions d'euros a la Comunitat Valenciana només en un mes d'estiu."" Es el sector que más aporta al producto interior bruto español.","i l'únic que genera són beneficis econòmics ràpids per a 4. El turisme massiu és molt positiu. Com més turistes vinguen, millor per a l'economia. Todos son bienvenidos, és el trato que tenim amb el turista. Lo queremos, lo amamos, li sacamos dinero. Se'n poden anar a cagar. Quieren arrancar la prima. Els turistes estrangers es van gastar més de 2.000 milions d'euros a la comunitat valenciana, només en un mes d'estiu. és el sector que més aporta"
60,"Es el sector que más aporta al producto interior bruto español. A Espanya vivim d'astò, és el nostre petroli. Y por lo tanto hay que mimarlo mucho. Les protestes contra la massificació turística podrien posar en perill la gallina dels ous d'or? Ha sigut una gallina dels ous d'or durant moltes dècades, però ara els ous no brillen tant. Encariment i problemes d'accés a l'habitatge, molèsties veïnals...  El turisme 'low cost' ix massa car?","és el sector que més aporta al Producto Interior Bruto Español. En Espanya vivim d'esto, que és el nostre petroli. molt. Les protestes contra la massificació turística podrien posar en perill la gallina dels ous d'or. Maldita gentrificació... Ha sigut una gallina dels ous d'or durant moltes dècades, però ara els ous no brillen tant. Encariment i problemes d'accés a l'habitatge, molèsties veïnals, el turisme low cost"
90,"molèsties veïnals...  El turisme 'low cost' ix massa car? Tenim viatges a l'abast de qualsevol butxaca. És un gran èxit. -Estoy viendo trasteros por mi barrio en los que está empezando a entrar gente. El turismo nunca ha supuesto ningún problema hasta la irrupción de las plataformas de internet. ¿Fomentar el turisme de luxe solucionaria en part els problemes derivats de la massificació turística? Eso es obvio. Al final, menos gente, menos contaminación.","el turisme low cost és massacrar. tenim viatges a l'abast de qualsevol putxaca, per tant, és una nèxa. hi ha hagut trasteros per mi barri, en què està començant a entrar gent. no hi ha posat ningun problema, està la irrupció de les plataformes d'internet. Fomentar el turisme deluxe solucionaria en part els problemes derivats de la massificació turística? Això és obvio. Al final, menys gent,"
120,"Al final, menos gente, menos contaminación. No poden arribar 400 vaixells i les àncores arrancar tota la posidònia que hi ha. La ciutat de València acollirà en 2025 més creueristes que habitants. ¿Quins són els beneficis i els inconvenients d'este tipus de turisme? Un impacto económico de 60 millones de euros. Els creueristes no gasten diners, agarren l'imant que toca per a un familiar i poc més. -Yo prefiero que vengan,","Al final, menys gent, menys contaminació. No poden arribar tres o quatre baixels i les áncores a arrencar tota la posidònia que n'hi ha. s'acollirà en 2025 més creueristes que habitants. Quins són els beneficis i els inconvenients d'este tipus de turisme? El impacto econòmic de 60 millons d'euros. Els creueristes no se gasten diners. Agarren el imam que toca"
150,"per a un familiar i poc més. -Yo prefiero que vengan, porque si no vienen, no hacemos nada. -Es horrible a veces. Atravesar una calle es ir haciendo así para que se aparten. ""Mentre en algunes localitats els turistes arriben en massa..."" És una invasió. Ja no dona a l'abast per a tanta gent. Si ahora le quitamos el turismo, estamos KO. ""En altres, ni a comptagotes."" Collins, és que podria vindre gent cap ací.","Agarren el imam que toca al familiar de turno i poc més. Jo prefiro que vengan a que no vengan, perquè si no vienen no ho fem en lava. És horrible a veces. Atravesar una calle és ir haciendo así para que se parte. Mentre en algunes localitats els turistes arriben en massa... És una invasió, no? Aquell dia no donava espera a tanta gent. Si ahora les quitamos el turisme, pues, estamos caos. En altres, ni a comptagotes. Collins, és que podria vindre"
180,"Collins, és que podria vindre gent cap ací. ""De què depèn que triem una destinació o una altra? De la foto que ens puguem fer allí?"" Hoy en día se hace mucho turismo de Instagram. Es una máquina de hacer fotos. Cada minuto hay una persona. ¿Cómo no te la vas a hacer? Quan algú està menjant-se una paella en la seua barraca i li tanquen la porta per a fer-se la foto... Si quiero ir y tener ese recuerdo, no le hago nada malo a nadie.","és que podria vindre gent pa'casi. ¿De què depèn que triem una destinació o una altra? ¿De la foto que ens puguen fer allí? Hoy en día se hace mucho turismo de Instagram. Deja ya tanto el postureo. Eso es una máquina de hacer fotos. Cada minuto hay una persona y hacen cola. ¿Y cómo vas a venir? No te la vas a hacer. Me gusta mirarse una paella a la sua carreta a la barraca ni tanquen la porta per hacerte la foto de turno, ¿sabes? Si quiero ir y tener ese recuerdo pues, no le estoy haciendo nada mal"
210,"Si quiero ir y tener ese recuerdo, no le hago nada malo a nadie. Hui fem 'zoom' en el turisme.",no le estoy haciendo nada mal en el turisme. Hoy fem zoom en el turisme.
240,"""El turisme a la Comunitat Valenciana no ha deixat de créixer des del seu 'boom' als anys 60. Llevat la parada de la pandèmia, el rècord del nombre de turistes s'ha batut pràcticament any rere any."" L'Organització Mundial del Turisme en els anys 90 va desenvolupar una gràfica que especifica l'augment dels turistes. En cap moment hi havia una davallada, sempre era ascendent.","El turisme a la comunitat valenciana no ha deixat de créixer des del seu boom als anys 60. Llevat la parada de la pandèmia, el rècord del nombre de turistes s'ha batut pràcticament any rere any. L'organització final del turisme en els anys 90 aproximadament va desenvolupar una gràfica que va especificant quin és l'augment dels turistes. En cap moment"
270,"En cap moment hi havia una davallada, sempre era ascendent. La Comunitat Valenciana ha batut el rècord d'ocupació hostalera dels últims cinc anys. -Enguany ha fet rècord en pernoctacions. -L'agost ha sigut excel·lent. L'ocupació més alta que hem tingut en els últims anys. El año 96 bate un nuevo récord. -Entre gener i octubre d'enguany, visitar en Espanya més de 37 milions de turistes.","En cap moment ahir hi havia una devadallada. Sempre era ascendent. La comunitat valenciana ha batut el rècord d'ocupació estalera dels últims 5 anys. Denguany ha fet rècord en pernoctacions. El mes d'agost ha sigut excel·lent. Una ocupació molt alta, la més alta que hem tingut és en els últims anys. L'any 96 va ser un nou rècord turista. Entre gener i octubre Denguany visitarà més de 37 milions de turistes."
